MatchId,HomeTeam,AwayTeam,Season,Round,HomeScore,AwayScore
734,northampton,bath,22/23,20,45,26
735,bath,exeter-chiefs,22/23,21,36,19
736,london-irish,northampton,22/23,21,37,11
737,saracens,harlequins,22/23,21,36,24
738,leicester,bristol,22/23,21,46,24
739,newcastle,gloucester,22/23,21,17,12
740,leicester,exeter-chiefs,22/23,22,62,19
741,harlequins,newcastle,22/23,22,48,20
742,northampton,saracens,22/23,22,38,29
743,bristol,sale,22/23,22,20,36
744,gloucester,bath,22/23,22,24,33
745,saracens,london-irish,22/23,23,45,21
746,gloucester,sale,22/23,23,22,25
747,exeter-chiefs,bristol,22/23,23,22,21
748,harlequins,bath,22/23,23,35,45
749,newcastle,northampton,22/23,23,5,66
750,bath,saracens,22/23,24,61,29
751,bristol,gloucester,22/23,24,36,21
752,leicester,harlequins,22/23,24,17,20
753,london-irish,exeter-chiefs,22/23,24,17,14
754,sale,newcastle,22/23,24,54,12
755,sale,leicester,22/23,SF,21,13
756,saracens,northampton,22/23,SF,38,15
757,saracens,sale,22/23,F,35,25
758,sale,northampton,23/24,1,20,15
759,bath,newcastle,23/24,1,34,26
760,gloucester,harlequins,23/24,1,29,28
761,exeter-chiefs,saracens,23/24,1,65,10
762,bristol,leicester,23/24,1,25,14
763,harlequins,exeter-chiefs,23/24,2,22,14
764,leicester,sale,23/24,2,17,24
765,northampton,bristol,23/24,2,27,33
766,saracens,bath,23/24,2,16,25
767,newcastle,gloucester,23/24,2,14,28
768,newcastle,northampton,23/24,3,14,16
769,bath,leicester,23/24,3,24,25
770,exeter-chiefs,sale,23/24,3,43,0
771,bristol,harlequins,23/24,3,21,23
772,gloucester,saracens,23/24,3,3,24
773,exeter-chiefs,bristol,23/24,4,29,20
774,saracens,leicester,23/24,4,32,17
775,harlequins,newcastle,23/24,4,40,12
776,northampton,bath,23/24,4,24,18
777,sale,gloucester,23/24,4,24,10
778,newcastle,saracens,23/24,5,12,50
779,northampton,exeter-chiefs,23/24,5,34,19
780,leicester,harlequins,23/24,5,25,29
781,bristol,sale,23/24,5,13,27
782,gloucester,bath,23/24,5,27,45
783,exeter-chiefs,gloucester,23/24,6,25,24
784,harlequins,saracens,23/24,6,10,38
785,leicester,northampton,23/24,6,26,17
786,bath,bristol,23/24,6,20,19
787,sale,newcastle,23/24,6,40,22
788,newcastle,exeter-chiefs,23/24,7,14,20
789,saracens,bristol,23/24,7,39,31
790,gloucester,leicester,23/24,7,20,38
791,northampton,harlequins,23/24,7,36,33
792,sale,bath,23/24,7,11,9
793,leicester,newcastle,23/24,8,47,3
794,saracens,northampton,23/24,8,12,18
795,bath,exeter-chiefs,23/24,8,41,24
